phase,split,eval_idx,global_step,tokens_seen,loss,attention_type,positional_mode,drop_positions_tokens,hidden_size,n_layers,head_size,seed,acc,f1,mcc
protein,valid_long,0,1000,39601271,2.640625,causal,rotary,-1,768,12,64,11,0.19707815738280207,0.19707815738280207,0.13618647433694417
protein,train,1,2000,79271237,2.638578125,causal,rotary,-1,768,12,64,11,,,
protein,valid_short,1,2000,79271237,2.6171875,causal,rotary,-1,768,12,64,11,0.20303973070842046,0.20303973070842046,0.14152962118672083
protein,valid_long,1,2000,79271237,2.609375,causal,rotary,-1,768,12,64,11,0.20055340907641891,0.20055340907641891,0.13809822821260906
protein,train,2,3000,118887464,2.627109375,causal,rotary,-1,768,12,64,11,,,
protein,valid_short,2,3000,118887464,2.609375,causal,rotary,-1,768,12,64,11,0.20233699226061005,0.20233699226061005,0.1440825851891925
protein,valid_long,2,3000,118887464,2.609375,causal,rotary,-1,768,12,64,11,0.2017774726322615,0.2017774726322615,0.14300265830586803
protein,train,3,4000,158506944,2.61840625,causal,rotary,-1,768,12,64,11,,,
protein,valid_short,3,4000,158506944,2.6015625,causal,rotary,-1,768,12,64,11,0.20186366859110705,0.20186366859110705,0.14247312531817793
protein,valid_long,3,4000,158506944,2.59375,causal,rotary,-1,768,12,64,11,0.20404906879076834,0.20404906879076834,0.14350178493228452
protein,train,4,5000,198135791,2.614265625,causal,rotary,-1,768,12,64,11,,,
protein,valid_short,4,5000,198135791,2.59375,causal,rotary,-1,768,12,64,11,0.2091268233387358,0.2091268233387358,0.14767479463042563
protein,valid_long,4,5000,198135791,2.5859375,causal,rotary,-1,768,12,64,11,0.2070009027680649,0.2070009027680649,0.14680918987808103
protein,train,5,6000,237713489,2.610921875,causal,rotary,-1,768,12,64,11,,,
protein,valid_short,5,6000,237713489,2.59375,causal,rotary,-1,768,12,64,11,0.20483772198407837,0.20483772198407837,0.14417859912496667
protein,valid_long,5,6000,237713489,2.5859375,causal,rotary,-1,768,12,64,11,0.21146821571711227,0.21146821571711227,0.15180327781589176
protein,train,6,7000,277317608,2.60846875,causal,rotary,-1,768,12,64,11,,,
protein,valid_short,6,7000,277317608,2.59375,causal,rotary,-1,768,12,64,11,0.209076586878081,0.209076586878081,0.14925565945397826
