phase,split,eval_idx,global_step,tokens_seen,loss,attention_type,positional_mode,drop_positions_tokens,hidden_size,n_layers,head_size,seed,acc,f1,mcc
protein,valid_long,24,25000,990557045,2.59375,causal,rotary,700000000,768,12,64,11,0.20670305565474673,0.20670305565474673,0.14676125726973277
protein,train,25,25239,1000033895,2.5992416317991633,causal,rotary,700000000,768,12,64,11,,,
protein,valid_short,25,25239,1000033895,2.578125,causal,rotary,700000000,768,12,64,11,0.2157282741738066,0.2157282741738066,0.15506833444552412
protein,valid_long,25,25239,1000033895,2.6015625,causal,rotary,700000000,768,12,64,11,0.20364772654805177,0.20364772654805177,0.143140236444881
protein,train,0,1000,39601271,2.75321875,dual_triangle,rotary,700000000,768,12,128,11,,,
protein,valid_short,0,1000,39601271,2.6171875,dual_triangle,rotary,700000000,768,12,128,11,0.2041452862461012,0.2041452862461012,0.14554362032226098
protein,valid_long,0,1000,39601271,2.6171875,dual_triangle,rotary,700000000,768,12,128,11,0.19906604062468103,0.19906604062468103,0.14054825186647038
protein,train,1,2000,79271237,2.62025,dual_triangle,rotary,700000000,768,12,128,11,,,
protein,valid_short,1,2000,79271237,2.5859375,dual_triangle,rotary,700000000,768,12,128,11,0.20848361696723394,0.20848361696723394,0.14931416319648283
protein,valid_long,1,2000,79271237,2.6015625,dual_triangle,rotary,700000000,768,12,128,11,0.20381783613418572,0.20381783613418572,0.14576905344304653
protein,train,2,3000,118887464,2.598515625,dual_triangle,rotary,700000000,768,12,128,11,,,
protein,valid_short,2,3000,118887464,2.5625,dual_triangle,rotary,700000000,768,12,128,11,0.20929519918283962,0.20929519918283962,0.15001616621969338
protein,valid_long,2,3000,118887464,2.578125,dual_triangle,rotary,700000000,768,12,128,11,0.21176290318461577,0.21176290318461577,0.15113177607129122
protein,train,3,4000,158506944,2.581203125,dual_triangle,rotary,700000000,768,12,128,11,,,
protein,valid_short,3,4000,158506944,2.546875,dual_triangle,rotary,700000000,768,12,128,11,0.2214395099540582,0.2214395099540582,0.16248437261258006
protein,valid_long,3,4000,158506944,2.5703125,dual_triangle,rotary,700000000,768,12,128,11,0.2151578624706243,0.2151578624706243,0.15471141010984435
protein,train,4,5000,198135791,2.56953125,dual_triangle,rotary,700000000,768,12,128,11,,,
protein,valid_short,4,5000,198135791,2.53125,dual_triangle,rotary,700000000,768,12,128,11,0.22326549256458408,0.22326549256458408,0.16446807309575187
protein,valid_long,4,5000,198135791,2.5703125,dual_triangle,rotary,700000000,768,12,128,11,0.21387995780858823,0.21387995780858823,0.15414347145985724
protein,train,5,6000,237713489,2.561203125,dual_triangle,rotary,700000000,768,12,128,11,,,
protein,valid_short,5,6000,237713489,2.53125,dual_triangle,rotary,700000000,768,12,128,11,0.2224244262460823,0.2224244262460823,0.16382303306536453
protein,valid_long,5,6000,237713489,2.5625,dual_triangle,rotary,700000000,768,12,128,11,0.21516437575220118,0.21516437575220118,0.15702459480837558
protein,train,6,7000,277317608,2.553296875,dual_triangle,rotary,700000000,768,12,128,11,,,
protein,valid_short,6,7000,277317608,2.53125,dual_triangle,rotary,700000000,768,12,128,11,0.22734278668310728,0.22734278668310728,0.16818816062171357
protein,valid_long,6,7000,277317608,2.5546875,dual_triangle,rotary,700000000,768,12,128,11,0.2214171306536496,0.2214171306536496,0.16160638374715075
protein,train,7,8000,316873237,2.54634375,dual_triangle,rotary,700000000,768,12,128,11,,,
protein,valid_short,7,8000,316873237,2.5234375,dual_triangle,rotary,700000000,768,12,128,11,0.2313307130825379,0.2313307130825379,0.17434459424427834
protein,valid_long,7,8000,316873237,2.546875,dual_triangle,rotary,700000000,768,12,128,11,0.22070444651542812,0.22070444651542812,0.16195530652556514
protein,train,8,9000,356507531,2.54,dual_triangle,rotary,700000000,768,12,128,11,,,
protein,valid_short,8,9000,356507531,2.515625,dual_triangle,rotary,700000000,768,12,128,11,0.23162842413827958,0.23162842413827958,0.1748231784164112
protein,valid_long,8,9000,356507531,2.546875,dual_triangle,rotary,700000000,768,12,128,11,0.22203150627455467,0.22203150627455467,0.16366697496276483
protein,train,9,10000,396143532,2.53559375,dual_triangle,rotary,700000000,768,12,128,11,,,
protein,valid_short,9,10000,396143532,2.5078125,dual_triangle,rotary,700000000,768,12,128,11,0.22949906295902345,0.22949906295902345,0.17087977172560087
protein,valid_long,9,10000,396143532,2.546875,dual_triangle,rotary,700000000,768,12,128,11,0.22221939651335784,0.22221939651335784,0.163873091631763
protein,train,10,11000,435778347,2.529921875,dual_triangle,rotary,700000000,768,12,128,11,,,
protein,valid_short,10,11000,435778347,2.5078125,dual_triangle,rotary,700000000,768,12,128,11,0.23389779256123375,0.23389779256123375,0.17751849603935901
protein,valid_long,10,11000,435778347,2.5390625,dual_triangle,rotary,700000000,768,12,128,11,0.22389579964604475,0.22389579964604475,0.16599678084259797
protein,train,11,12000,475451418,2.525390625,dual_triangle,rotary,700000000,768,12,128,11,,,
protein,valid_short,11,12000,475451418,2.5,dual_triangle,rotary,700000000,768,12,128,11,0.23175637826551918,0.23175637826551918,0.17349375824535113
protein,valid_long,11,12000,475451418,2.5390625,dual_triangle,rotary,700000000,768,12,128,11,0.22756141554251455,0.22756141554251455,0.16885944886120144
protein,train,12,13000,515055043,2.523078125,dual_triangle,rotary,700000000,768,12,128,11,,,
protein,valid_short,12,13000,515055043,2.5,dual_triangle,rotary,700000000,768,12,128,11,0.24055858518933795,0.24055858518933795,0.1839466823766931
protein,valid_long,12,13000,515055043,2.53125,dual_triangle,rotary,700000000,768,12,128,11,0.22481842811534108,0.22481842811534108,0.16568950691655535
protein,train,13,14000,554698855,2.51940625,dual_triangle,rotary,700000000,768,12,128,11,,,
protein,valid_short,13,14000,554698855,2.4921875,dual_triangle,rotary,700000000,768,12,128,11,0.23941086846114779,0.23941086846114779,0.18309282227951132
protein,valid_long,13,14000,554698855,2.5390625,dual_triangle,rotary,700000000,768,12,128,11,0.22433720281847214,0.22433720281847214,0.16490784771808403
protein,train,14,15000,594251982,2.516359375,dual_triangle,rotary,700000000,768,12,128,11,,,
protein,valid_short,14,15000,594251982,2.484375,dual_triangle,rotary,700000000,768,12,128,11,0.23686728783681693,0.23686728783681693,0.1795939300890187
protein,valid_long,14,15000,594251982,2.53125,dual_triangle,rotary,700000000,768,12,128,11,0.22435628189952525,0.22435628189952525,0.16528623330835643
protein,train,15,16000,633868779,2.511671875,dual_triangle,rotary,700000000,768,12,128,11,,,
protein,valid_short,15,16000,633868779,2.484375,dual_triangle,rotary,700000000,768,12,128,11,0.24424532674185076,0.24424532674185076,0.18752271024648268
protein,valid_long,15,16000,633868779,2.5234375,dual_triangle,rotary,700000000,768,12,128,11,0.22638825382309608,0.22638825382309608,0.16698780795956408
protein,train,16,17000,673525684,2.5099375,dual_triangle,rotary,700000000,768,12,128,11,,,
protein,valid_short,16,17000,673525684,2.4765625,dual_triangle,rotary,700000000,768,12,128,11,0.2447598363553715,0.2447598363553715,0.1889644969388414
